cor_texto,cor_fundo,contraste,contraste_deuteranopia,luminancia_texto,luminancia_fundo,distancia_rgb,distancia_hsv,boa_acessibilidade
#483d8b,#000000,2.3158569245597524,2.339108890277701,0.06579284622798763,0.0,0.6588468716686556,0.8414371350776108,0
#008000,#ffa500,2.601495978376403,10.598040016274304,0.15438342968146074,0.48170267036309633,1.0104718902494205,0.5467073155618908,0
#daa520,#4169e1,2.1658829046992367,3.810543940482268,0.4191997780956843,0.16663210743188323,0.9940847734054915,0.5149325081136865,0
#ff0000,#00ff00,2.9139375476009137,3.3588998230259075,0.2126,0.7152,1.4142135623730951,0.3333333333333333,0
#ff00ff,#483d8b,2.8913703299148836,4.077102570527182,0.2848,0.06579284622798763,0.8827101673387819,0.6480892223176438,0
#228b22,#00ced1,2.2468326996477392,1.3672586595377585,0.18920812076002244,0.4874606277449036,0.7468503646166532,0.40468241051250187,0
#c0c0c0,#000000,11.542302514116262,11.542302514116262,0.5271151257058131,0.0,1.3041323727577427,0.7529411764705882,1
#a52a2a,#228b22,1.6138254005936756,2.303177201128808,0.09822428787651086,0.18920812076002244,0.6399971164871605,0.3487204308234466,0
#808000,#00ffff,3.3459145152364793,1.2632691866332968,0.20027537200567572,0.7874,1.2247480105516604,0.5992947283870521,0
#ff00ff,#8b0000,3.191925244277799,3.0517403146424846,0.2848,0.05488967453113127,1.0986062961431695,0.4844724674356543,0
#0087be,#a52a2a,1.7571783812147042,2.3871205768880723,0.21045651422754966,0.09822428787651086,0.9426295971790262,0.5277187712036278,0
#228b22,#ffd700,3.129529097520086,8.25778589464774,0.18920812076002244,0.6986087742815887,0.9261297225420306,0.5513102013625201,0
#ffa500,#800080,4.769614668743368,5.1849055322982895,0.48170267036309633,0.06147707043243851,0.9584846427864749,0.5686815390097145,1
#0000ff,#556b2f,1.4445107107110606,1.8588974808237106,0.0722,0.1265192088488916,0.9759743600920535,0.8499536032122371,0
#808000,#000000,5.005507440113514,5.034014807388236,0.20027537200567572,0.0,0.7098797489559064,1.131257002969099,1
#8b4513,#696969,1.2929984898065787,1.127582317748301,0.09792228502052074,0.14126329114027164,0.38916505819781255,0.8763009453304264,0
#0087be,#008080,1.184062471676414,1.1957598074153135,0.21045651422754966,0.16996855778968425,0.24468199984010194,0.24787771984364332,0
#00ced1,#ff00ff,1.6053184819142883,3.2725842088850756,0.4874606277449036,0.2848,1.2981339933409939,0.3769128126625058,0
#0087be,#800080,2.3364133378926675,1.4279022641290064,0.21045651422754966,0.06147707043243851,0.768997509956377,0.37468751302376807,0
#556b2f,#ffa500,3.0121519002402612,4.9731489875288855,0.1265192088488916,0.48170267036309633,0.7281139624604608,0.7376869178863708,0
#008080,#dc143c,1.045368631990667,4.230195634926566,0.16996855778968425,0.1604219995302558,0.9974053227908727,0.5968312672925808,0
#ffd700,#daa520,1.5955011260233896,1.472168770975721,0.6986087742815887,0.4191997780956843,0.27431365541212016,0.2074997682737564,0
#800080,#ffff00,8.771310514412942,6.695920411239215,0.06147707043243851,0.9278,1.2247480105516604,0.5992947283870521,1
#008000,#0000ff,1.6725321577860943,1.1464065162269388,0.15438342968146074,0.0722,1.1189122525867927,0.5992947283870521,0
#008080,#800000,2.2939211831371673,1.622371118354347,0.16996855778968425,0.045891942324214986,0.8694215818384953,0.5,0
#800000,#808080,2.772500938765145,1.9057415284898638,0.045891942324214986,0.21586050011389923,0.7098797489559064,1.0,0
#c0c0c0,#a52a2a,3.893526047408784,2.351281007602032,0.5271151257058131,0.09822428787651086,0.8386015711621994,0.7529366188486272,0
#cd5c5c,#696969,1.380616991711068,2.231652633003297,0.21406134963883997,0.14126329114027164,0.3987292386658053,0.676483522062959,0
#008080,#8b4513,1.4870548934473855,2.5080735507764667,0.16996855778968425,0.09792228502052074,0.7303283298865193,0.453787662116636,0
#ffc0cb,#ffd700,1.096524144969279,1.0202457461032046,0.6327107070246613,0.6986087742815887,0.8011717677633033,0.7718111911087628,0
#228b22,#daa520,1.9614709425621604,5.609265769966483,0.18920812076002244,0.4191997780956843,0.7287789791571659,0.389114161711338,0
#ff00ff,#ffd700,2.23598797575146,1.8455342326785058,0.2848,0.6986087742815887,1.3080062807966994,0.30718954248366015,0
#800080,#000000,2.22954140864877,2.936378547643103,0.06147707043243851,0.0,0.7098797489559064,1.131257002969099,0
#ff4500,#800080,2.737445793564427,3.837202323128329,0.2551624375341642,0.06147707043243851,0.7571166901012252,0.5411906789837007,0
#000000,#8b0000,2.097793490622625,3.125032239321269,0.0,0.05488967453113127,0.5450980392156862,1.138916973425537,0
#8b0000,#008080,2.097142152199143,1.8171253759978363,0.05488967453113127,0.16996855778968425,0.8950201843168044,0.5018573729262894,0
#696969,#ff0000,1.3729764788341448,2.3239931585220694,0.14126329114027164,0.2126,0.8277204282041347,1.160181348430354,0
#bdb76b,#800000,5.29213666132814,3.7823155978578096,0.45747326349994166,0.045891942324214986,0.865050396000225,0.6337170870970168,1
#000080,#800000,1.4620988795810765,2.4340514976793495,0.015585128108223528,0.045891942324214986,0.7098797489559064,0.33333333333333337,0
#ffa500,#000000,10.634053407261927,15.224845376596742,0.48170267036309633,0.0,1.1910856900774462,1.4183194782040396,1
#0087be,#00ced1,2.063533059784972,1.4170908250183107,0.21045651422754966,0.4874606277449036,0.2882286247060856,0.08748847471357242,0
#dc143c,#00ff00,3.6365018948029464,2.7487209186311152,0.1604219995302558,0.7152,1.2841266141202308,0.4019301125402603,0
#8b4513,#4169e1,1.4644994660664592,1.3747707062053283,0.09792228502052074,0.16663210743188323,0.8699167168152021,0.5783044507709191,0
#808000,#008080,1.1377779375403658,2.9271493377107594,0.20027537200567572,0.16996855778968425,0.7098797489559064,0.33333333333333337,0
#ff4500,#ff0000,1.1620808740828796,1.2674483660081974,0.2551624375341642,0.2126,0.27058823529411763,0.04509803921568626,0
#bdb76b,#00ffff,1.650136194810776,2.6482500749274824,0.45747326349994166,0.7874,0.9828126981741871,0.7119629741641477,0
#8b4513,#cd5c5c,1.7851356852837128,1.9791483050742964,0.09792228502052074,0.21406134963883997,0.39633072919600437,0.41135412806256205,0
#8b4513,#ff00ff,2.2633506503334124,2.211017601527555,0.09792228502052074,0.2848,1.0661547214369458,0.5304418760096049,0
#8b0000,#000000,2.097793490622625,3.125032239321269,0.05488967453113127,0.0,0.5450980392156862,1.138916973425537,0
#0087be,#00ffff,3.215124038972585,1.9377824811210134,0.21045651422754966,0.7874,0.5351899632923992,0.25942754072247315,0
#0087be,#800080,2.3364133378926675,1.4279022641290064,0.21045651422754966,0.06147707043243851,0.768997509956377,0.37468751302376807,0
#ff0000,#808000,1.0492442700037012,1.7659645316658101,0.2126,0.20027537200567572,0.707112218357348,0.5251864793948691,0
#008080,#800080,1.9732179625495074,1.707428136362791,0.16996855778968425,0.06147707043243851,0.7098797489559064,0.33333333333333337,0
#2f4f4f,#483d8b,1.0156771835151346,1.2467031457774247,0.06760815192804356,0.06579284622798763,0.26449519574772146,0.3404287089050277,0
#daa520,#00ffff,1.784740827028329,3.0001847269778925,0.4191997780956843,0.7874,1.27286772044712,0.433160076299512,0
#ffffff,#000080,16.009727056831707,18.320159145884244,1.0,0.015585128108223528,1.4993475448879088,1.1658276765768218,1
#008000,#808080,1.3007928310443406,3.7013186659812636,0.15438342968146074,0.21586050011389923,0.7098797489559064,1.0540925533894598,0
#c0c0c0,#ffffff,1.8193943517176883,1.8193943517176883,0.5271151257058131,1.0,0.4279184348111344,0.24705882352941178,0
#a52a2a,#ffd700,5.050513549474917,3.5853888665624702,0.09822428787651086,0.6986087742815887,0.7822816813583522,0.4572827802422404,1
#4169e1,#696969,1.1326381876018552,1.2192198162087573,0.16663210743188323,0.14126329114027164,0.49604355453621635,0.9315349159011223,0
#483d8b,#800080,1.0387144708665872,1.2553406811661914,0.06579284622798763,0.06147707043243851,0.3275859766346212,0.4636212558968276,0
#8b4513,#556b2f,1.193323972952444,1.408926885841455,0.09792228502052074,0.1265192088488916,0.2812615070908409,0.36381425121421423,0
#808080,#2f4f4f,2.2605618382351693,2.8339777015734193,0.21586050011389923,0.06760815192804356,0.4180289150038734,0.6715657300135196,0
#2f4f4f,#556b2f,1.5009096389584602,1.6316764154156636,0.06760815192804356,0.1265192088488916,0.2236325871275804,0.33226414684227185,0
#8b4513,#696969,1.2929984898065787,1.127582317748301,0.09792228502052074,0.14126329114027164,0.38916505819781255,0.8763009453304264,0
#008000,#a52a2a,1.3788794846613623,3.417122760148103,0.15438342968146074,0.09822428787651086,0.7480334335345618,0.44379943727442916,0
#000080,#008080,3.3539395917121495,1.5003049981241843,0.015585128108223528,0.16996855778968425,0.5019607843137255,0.16666666666666663,0
#c0c0c0,#ffd700,1.2971567386421186,1.5248661708108853,0.5271151257058131,0.6986087742815887,0.7975548947082256,1.0396079746287132,0
#800000,#ffd700,7.806795400498914,6.308184212517473,0.045891942324214986,0.6986087742815887,0.9792463893040471,0.5174840470867461,1
#c0c0c0,#000000,11.542302514116262,11.542302514116262,0.5271151257058131,0.0,1.3041323727577427,0.7529411764705882,1
#808080,#cd5c5c,1.0068133805932598,1.605478162747759,0.21586050011389923,0.21406134963883997,0.36199710904765803,0.6285087635729422,0
#ff0000,#00ced1,2.0466893668884376,3.050599669809819,0.2126,0.4874606277449036,1.5245876658762345,0.5292964283576651,0
#0087be,#ff00ff,1.2854353095868418,4.6375490565108475,0.21045651422754966,0.2848,1.159849915385902,0.38242648614650515,0
#0087be,#8b4513,1.7607658926538179,2.0974726991349337,0.21045651422754966,0.09792228502052074,0.9021142239477368,0.5365956514084141,0
#ffc0cb,#0000ff,5.586830663049601,10.474984959684976,0.6327107070246613,0.0722,1.2682682765788924,0.812082516987202,1
#0087be,#ffa500,2.0414258861599084,7.40353834886374,0.21045651422754966,0.48170267036309633,1.2526020591125049,0.5088510107740869,0
#2f4f4f,#a52a2a,1.2603232467014638,2.6163782639967272,0.06760815192804356,0.09822428787651086,0.50620144974881,0.6925366957143317,0
#2f4f4f,#bdb76b,4.314949730784224,5.624581247980807,0.06760815192804356,0.45747326349994166,0.6989199114890732,0.5534451915778057,0
#8b4513,#00ff00,5.1729866118134025,1.6297104979175197,0.09792228502052074,0.7152,0.9136329162899978,0.5433759957096725,0
#dc143c,#800080,1.8875809950332665,2.4775248485349675,0.1604219995302558,0.06147707043243851,0.4554425455986817,0.39523102309670494,0
#00ff00,#800080,6.864191865032504,1.109462502568446,0.7152,0.06147707043243851,1.226347935121881,0.7057216592690063,0
#696969,#4169e1,1.1326381876018552,1.2192198162087573,0.14126329114027164,0.16663210743188323,0.49604355453621635,0.9315349159011223,0
#2f4f4f,#483d8b,1.0156771835151346,1.2467031457774247,0.06760815192804356,0.06579284622798763,0.26449519574772146,0.3404287089050277,0
#808000,#696969,1.3085384577123318,1.315990846277008,0.20027537200567572,0.14126329114027164,0.43106941220547906,1.0177981677828742,0
#556b2f,#483d8b,1.5244396748080464,1.3087930522531694,0.1265192088488916,0.06579284622798763,0.40657797735789086,0.4791193887580495,0
#2f4f4f,#8b4513,1.2577553732076696,2.298912770672539,0.06760815192804356,0.09792228502052074,0.4325118644380309,0.6713649238589946,0
#ff00ff,#696969,1.7504665845912857,2.49310435171273,0.2848,0.14126329114027164,0.9282196375329118,1.172091523313539,0
#2f4f4f,#ffd700,6.365279634183961,9.380733498449908,0.06760815192804356,0.6986087742815887,1.0226275043667796,0.9795632276902815,1
#008000,#ff00ff,1.638097572400064,6.638573093348028,0.15438342968146074,0.2848,1.5006547334376588,0.7057216592690063,0
#bdb76b,#ffd700,1.4751688968175065,1.6678101150761295,0.45747326349994166,0.6986087742815887,0.5087319045541225,0.6226523335966615,0
#00ffff,#ff0000,3.188880426504189,2.230888577540719,0.7874,0.2126,1.7320508075688772,0.5,0
#daa520,#0000ff,3.8396053853983987,7.2593978736082665,0.4191997780956843,0.0722,1.383585877643694,0.4973578271336937,0
#ffd700,#00ffff,1.1186083155432165,4.416778262215173,0.6986087742815887,0.7874,1.422886475021705,0.35947712418300654,0
#dc143c,#000000,4.2084399906051155,7.274950816490807,0.1604219995302558,0.0,0.897688089588988,1.2537489765872365,0
#008000,#8b0000,1.948556238686771,2.175340103971378,0.15438342968146074,0.05488967453113127,0.7410104596735704,0.3361129778386842,0
#ff0000,#daa520,1.786747060531928,1.344838445622967,0.2126,0.4191997780956843,0.6748972895213807,0.2383343847201708,0
#ffa500,#ff00ff,1.5881202818491529,1.596433430384872,0.48170267036309633,0.2848,1.1910856900774462,0.27450980392156854,0
#ffa500,#ffc0cb,1.284008422523894,1.1330954588510416,0.48170267036309633,0.6327107070246613,0.8030889997758268,0.7652933966654756,0
#cd5c5c,#dc143c,1.2549132230865983,1.1734326129120234,0.21406134963883997,0.1604219995302558,0.3145332737807931,0.3642022177852709,0
#a52a2a,#000080,2.2600289448535125,4.282504855557445,0.09822428787651086,0.015585128108223528,0.7480334335345618,0.4437994372744292,0
#ff4500,#cd5c5c,1.1556497683267115,1.3198923917738032,0.2551624375341642,0.21406134963883997,0.4204133737695444,0.4918175582723773,0
#2f4f4f,#4169e1,1.8419820725048521,1.6722154176663013,0.06760815192804356,0.16663210743188323,0.5858251277930216,0.6611373896274789,0
#00ffff,#008000,4.097201036821427,2.7739028704980884,0.7874,0.15438342968146074,1.1171584759385749,0.5251864793948691,0
#ffd700,#00ffff,1.1186083155432165,4.416778262215173,0.6986087742815887,0.7874,1.422886475021705,0.35947712418300654,0
#c0c0c0,#ffff00,1.694289330580529,1.7034518917037604,0.5271151257058131,0.9278,0.830058154464124,1.0434633870249184,0
#ffa500,#0000ff,4.351085682185731,9.244574124678433,0.48170267036309633,0.0722,1.5552122431061512,0.4411764705882353,0
#a52a2a,#00ff00,5.162446795747172,1.854763337589047,0.09822428787651086,0.7152,1.0693593464148083,0.5481532391487859,0
#bdb76b,#ffa500,1.047745188970251,1.442697608148563,0.45747326349994166,0.48170267036309633,0.4980392156862745,0.624239995155418,0
#ff0000,#008000,1.28483997166146,6.188268229001598,0.2126,0.15438342968146074,1.1189122525867927,0.5992947283870521,0
#ffa500,#ffc0cb,1.284008422523894,1.1330954588510416,0.48170267036309633,0.6327107070246613,0.8030889997758268,0.7652933966654756,0
#808000,#008080,1.1377779375403658,2.9271493377107594,0.20027537200567572,0.16996855778968425,0.7098797489559064,0.33333333333333337,0
#800000,#ffffff,10.949825131812458,7.526611151551592,0.045891942324214986,1.0,1.4993475448879088,1.1171584759385749,1
#4169e1,#ffc0cb,3.1514751673610046,5.498443694605022,0.16663210743188323,0.6327107070246613,0.8240241277826835,0.5906198439166849,0
#800080,#2f4f4f,1.0549985882461885,1.565037176232266,0.06147707043243851,0.06760815192804356,0.4835311610419513,0.7085090391527985,0
#228b22,#2f4f4f,2.0339416684855114,1.1359865244907845,0.18920812076002244,0.06760815192804356,0.29850325072917744,0.4537332748229228,0
#008000,#800080,1.833412278315376,2.0440179575608504,0.15438342968146074,0.06147707043243851,0.8694215818384953,0.5,0
#ffa500,#4169e1,2.4544038123724685,4.852586471558577,0.48170267036309633,0.16663210743188323,1.178592857031272,0.5748348595618048,0
#0087be,#c0c0c0,2.2157830354805887,5.61279127529293,0.21045651422754966,0.5271151257058131,0.7854599467514484,1.0973347438409733,0
#4169e1,#008080,1.0154014582480584,1.8243577197679062,0.16663210743188323,0.16996855778968425,0.46669961986140224,0.49374080561175826,0
#000000,#c0c0c0,11.542302514116262,11.542302514116262,0.0,0.5271151257058131,1.3041323727577427,0.7529411764705882,1
#00ced1,#00ff00,1.4237321963669287,1.101062147310633,0.4874606277449036,0.7152,0.8418320951544562,0.24722920441047305,0
#ff00ff,#556b2f,1.896677433483196,3.1151621438608603,0.2848,0.1265192088488916,1.1339573558518092,0.8278792729477096,0
#ff00ff,#696969,1.7504665845912857,2.49310435171273,0.2848,0.14126329114027164,0.9282196375329118,1.172091523313539,0
#808000,#cd5c5c,1.0550832370068421,1.6957964710140148,0.20027537200567572,0.21406134963883997,0.4911989740843155,0.5660053173562262,0
#ff0000,#556b2f,1.4876567922123276,2.9038557912933176,0.2126,0.1265192088488916,0.8090035450298219,0.7626797406990201,0
#0087be,#800080,2.3364133378926675,1.4279022641290064,0.21045651422754966,0.06147707043243851,0.768997509956377,0.37468751302376807,0
#ff0000,#ffa500,2.024762644185439,1.7126019144752183,0.2126,0.48170267036309633,0.6470588235294118,0.10784313725490197,0
#4169e1,#228b22,1.1042136070953283,1.4720380758177443,0.16663210743188323,0.18920812076002244,0.7704460278900659,0.4480752578401844,0
#008000,#a52a2a,1.3788794846613623,3.417122760148103,0.15438342968146074,0.09822428787651086,0.7480334335345618,0.44379943727442916,0
#4169e1,#8b0000,2.0653330120457833,1.0039801016845622,0.16663210743188323,0.05488967453113127,1.0160268942061013,0.5812251362596382,0
#c0c0c0,#ffa500,1.0854094926995663,1.3190475087597748,0.5271151257058131,0.48170267036309633,0.7994808003779768,1.035696965592116,0
#8b0000,#0000ff,1.1650336465076077,1.8975294305992543,0.05488967453113127,0.0722,1.138916973425537,0.5639564744167093,0
#483d8b,#ff4500,2.635417018192313,4.8169961780884085,0.06579284622798763,0.2551624375341642,0.9017391031927338,0.7249120049389606,0
#ffa500,#dc143c,2.5268397389534587,2.092776399544196,0.48170267036309633,0.1604219995302558,0.6305072623848441,0.216873619349917,0
#0000ff,#8b0000,1.1650336465076077,1.8975294305992543,0.0722,0.05488967453113127,1.138916973425537,0.5639564744167093,0
#0000ff,#ff00ff,2.7397708674304417,5.790767061580343,0.0722,0.2848,1.0,0.16666666666666674,0
#0000ff,#c0c0c0,4.72270970299356,7.0085224855703485,0.0722,0.5271151257058131,1.0931051608759168,1.0826583825911331,1
#808080,#000080,4.053670516206001,4.638673021610486,0.21586050011389923,0.015585128108223528,0.7098797489559064,1.0540925533894598,0
#8b0000,#ff00ff,3.191925244277799,3.0517403146424846,0.05488967453113127,0.2848,1.0986062961431695,0.4844724674356543,0
#ff4500,#00ced1,1.7612279941391304,3.8664775668456017,0.2551624375341642,0.4874606277449036,1.4001427949366432,0.49158866128183665,0
